Metabolite,Concentration (M),Organism,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NAD+,5.02E-4,Mus musculus,,,
NADH,7.50E-5,Mus musculus,,,
NADP+,2.84E-5,Mus musculus,,,
NADPH,6.54E-5,Mus musculus,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Mus musculus,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
IMP,1.23E-5,Mus musculus,,,
NAD+,5.02E-4,Mus musculus,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
UDP,1.33E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
pyruvate,5.88E-3,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
pyruvate,5.88E-3,Homo sapiens,,,
malate,1.39E-3,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
isocitrate,3.21E-5,Homo sapiens,,,
isocitrate,3.21E-5,Mus musculus,,,
NADP+,2.84E-5,Mus musculus,,,
6-phospho-D-gluconate,1.65E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
glucose-6-phosphate,6.75E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Mus musculus,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
dihydroxyacetonephosphate,1.63E-3,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Mus musculus,,,
NADH,7.50E-5,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
tryptophan,1.80E-4,Mus musculus,,,
cysteine,8.40E-5,Mus musculus,,,
phenylpyruvate,1.77E-3,Homo sapiens,,,
tryptophan,1.80E-4,Mus musculus,,,
a-ketoglutarate,7.97E-4,Mus musculus,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Mus musculus,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
FAD,5.60E-6,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
arginine,2.55E-4,Mus musculus,,,
methionine,6.39E-4,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
tryptophan,1.80E-4,Homo sapiens,,,
methionine,6.39E-4,Homo sapiens,,,
phenylalanine,8.40E-4,Mus musculus,,,
phenylalanine,8.40E-4,Homo sapiens,,,
tyrosine,9.38E-4,Homo sapiens,,,
tryptophan,1.80E-4,Mus musculus,,,
phenylalanine,8.40E-4,Mus musculus,,,
tyrosine,9.38E-4,Mus musculus,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
glyceraldehyde-3-phosphate,1.41E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
"1,3-bisphosphoglycerate",2.24E-6,Homo sapiens,,,
NAD+,5.02E-4,Mus musculus,,,
NAD+,5.02E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NAD+,5.02E-4,Mus musculus,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NAD+,5.02E-4,Mus musculus,,,
NADP+,2.84E-5,Mus musculus,,,
NAD+,5.02E-4,Homo sapiens,,,
pyruvate,5.88E-3,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
dihydroorotate,7.35E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
glutamate,6.38E-2,Homo sapiens,,,
glycine,3.71E-3,Homo sapiens,,,
NAD+,5.02E-4,Mus musculus,,,
NADP+,2.84E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADPH,6.54E-5,Mus musculus,,,
FAD,5.60E-6,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Mus musculus,,,
a-ketoglutarate,7.97E-4,Homo sapiens,,,
lysine,5.06E-4,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Mus musculus,,,
NADPH,6.54E-5,Mus musculus,,,
NADPH,6.54E-5,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
GMP,1.81E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
NADH,7.50E-5,Homo sapiens,,,
glutathione disulfide,1.80E-5,Mus musculus,,,
NADPH,6.54E-5,Mus musculus,,,
NADPH,6.54E-5,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
glycine,3.71E-3,Homo sapiens,,,
aspartate,1.49E-2,Homo sapiens,,,
serine,4.86E-3,Mus musculus,,,
glycine,3.71E-3,Homo sapiens,,,
arginine,2.55E-4,Homo sapiens,,,
xylulose-5-phosphate,2.99E-5,Mus musculus,,,
ribose-5-phosphate,2.84E-5,Mus musculus,,,
fructose-6-phosphate,9.69E-5,Homo sapiens,,,
erythrose-4-phosphate,1.03E-5,Homo sapiens,,,
glutamate,6.38E-2,Mus musculus,,,
acetyl-CoA,2.88E-5,Mus musculus,,,
glycine,3.71E-3,Homo sapiens,,,
alanine,6.98E-3,Homo sapiens,,,
aspartate,1.49E-2,Mus musculus,,,
acetyl-CoA,2.88E-5,Mus musculus,,,
glutamine,1.72E-2,Homo sapiens,,,
acetyl-CoA,2.88E-5,Mus musculus,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
serine,4.86E-3,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
glycine,3.71E-3,Homo sapiens,,,
acetyl-CoA,2.88E-5,Mus musculus,,,
acetyl-CoA,2.88E-5,Mus musculus,,,
glycine,3.71E-3,Homo sapiens,,,
alanine,6.98E-3,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
malonyl-CoA,4.95E-6,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
NADPH,6.54E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
coenzyme-A,4.04E-3,Homo sapiens,,,
histidine,4.10E-4,Homo sapiens,,,
glutathione,3.09E-3,Mus musculus,,,
glutathione disulfide,1.80E-5,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
coenzyme-A,4.04E-3,Homo sapiens,,,
citrate,5.84E-4,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Mus musculus,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucuronate,9.75E-5,Mus musculus,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
UDP-glucuronate,9.75E-5,Homo sapiens,,,
UDP-glucuronate,9.75E-5,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucuronate,9.75E-5,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
GMP,1.81E-5,Homo sapiens,,,
GDP,3.02E-5,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
inosine,1.33E-6,Mus musculus,,,
guanosine,1.35E-6,Homo sapiens,,,
ADP,5.69E-4,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
glutamine,1.72E-2,Homo sapiens,,,
thymidine,2.64E-6,Mus musculus,,,
NAD+,5.02E-4,Mus musculus,,,
thymidine,2.64E-6,Mus musculus,,,
IMP,1.23E-5,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
glutathione,3.09E-3,Mus musculus,,,
NAD+,5.02E-4,Homo sapiens,,,
