reaction_id,standard_dGr_prime(kJ/mol),SD(kJ/mol)
10FTHF5GLUtl,-430.60853217297546,2.3233480533235703e-05
10FTHF5GLUtm,-286.0373551799352,2.3905220587039366e-05
10FTHF6GLUtl,-517.6016101988989,5.069961116532795e-05
10FTHF6GLUtm,-342.01365764728246,4.132399772061035e-05
10FTHF7GLUtl,-570.600680371206,4.6466957428492606e-05
10FTHF7GLUtm,-379.8559139707329,3.397745604161173e-05
10FTHFtl,-211.7723296251379,1.881229763966985e-05
10FTHFtm,125.96267098077794,2.028672679443844e-05
11DOCRTSLtm,136.91864144477648,2.577967825345695e-05
11DOCRTSLtr,0.0,2.7295751351630315e-05
11DOCRTSTRNtm,136.91870228262763,2.949962072307244e-05
11DOCRTSTRNtr,-1.220703097715159e-06,2.1107929569552653e-05
13DAMPPOX,-126.73296574527372,42.18911743164063
1a_24_25VITD2Hm,-413.3015364792655,8.062061309814453
1a_24_25VITD3Hm,-413.3015057412359,8.062061309814453
1a_25VITD2Hm,-414.95715352762943,9.093544006347656
1a_25VITD3Hm,-407.7113285637533,7.869251251220703
1MNCAMti,-13.93635028063929,0.3780749440193176
1PPDCRp,-46.45083999633789,7.6164231300354
24_25DHVITD2t,50.203522513655386,2.9900997105869465e-05
24_25DHVITD2tm,-200.81408171315007,3.208847192581743e-05
24_25DHVITD3t,50.20352187506199,3.227369234082289e-05
24_25DHVITD3tm,-200.81408943885123,2.1107931388542056e-05
24_25VITD2Hm,-414.95712194481575,9.093558311462402
24_25VITD3Hm,-407.7113887541255,7.869261264801025
24NPHte,-5.053353105733628,0.0
25HVITD2t,50.2035209937638,3.85247367375996e-05
25HVITD2tin,-50.2035209937638,3.85247367375996e-05
25HVITD2tin_m,200.8140888578077,4.541278394754045e-05
25HVITD2tm,-200.8140888578077,4.541278394754045e-05
25HVITD3t,50.20352099375905,3.444027606747113e-05
25HVITD3tin_m,200.8140888577645,3.417968764551915e-05
25HVITD3tm,-200.8140888577645,3.417968764551915e-05
25VITD2Hm,-413.3014438612957,8.062070846557617
25VITD3Hm,-413.30153541403,8.062078475952148
2AMACHYD,-42.97147410439683,70.93453979492188
2AMACSULT,-123.66031845374866,29.276960372924805
2AMADPTm,12.36947818230697,1.3634222341352142e-05
2DR1PP,-16.79227543372083,1.2779046297073364
2HBO,21.63987136402863,1.1072897911071775
2HBt2,-9.12847678199726,1.518230533292808e-06
2HCO3_NAt,1.6317480914659015,0.0
2MCITt,-0.5960660176861889,2.02338669623714e-05
2OXOADOXm,-31.28281626680985,2.2536516189575195
2OXOADPTm,9.128404391326498,8.631674063508399e-06
34DHOXPEGOX,-24.290853158668504,4.10430908203125
34DHOXPEGt,11.395816286584305,4.217613422952127e-06
34DHPHAMT,-6.097305644706536,34.68105697631836
34DHPHEt,-12.52037434594163,6.10351571594947e-06
34DHPLACOX,-41.89433604985453,2.873039960861206
34DHPLACOX_NADP_,-31.101727250675065,8.297521591186523
34DHXMANDACOX,-41.2553070839479,3.4007956981658936
34DHXMANDACOX_NADP_,-30.462694470071163,8.339472770690918
34HPLFM,-18.04861726928113,1.552107572555542
34HPPOR,-463.6684431361922,6.2906365394592285
35CGMPtn,1.220703097715159e-06,8.544921001885086e-06
3AIBTm,-5.601428635360996,2.2366418838500977
3AIBtmi,-41.06761256909711,7.309501597774215e-06
3DPHBH1,-402.6466458751899,6.192437648773193
3DPHBH2,-413.8434768726465,9.41030502319336
3DSPHR,-25.450410497629065,9.24746036529541
3HAO,-323.0496537616164,10.840621948242188
3HBCDm,-4.369702859512813,1.0436195135116575
3HBCOAHLm,-23.13546491292108,3.642103433609009
3HKYNAKGAT,9.104208682790391,2.142528295516968
3HLYTCL,-17.732738134666317,41.648681640625
3HPCOAHYD,-29.031726490041137,1.1558220386505127
3HPPD,22.980673639091904,1.4897137880325315
3HXKYNDCL,-18.61998720304509,41.80881118774414
3HXKYNOXDA,-179.89859578128292,46.44546127319336
3M4HDXPAC,-41.89452037121584,2.8730390071868896
3MLDAt,5.6149517861592,0.0
3MOBt2im,36.51196353348354,8.068423085205723e-06
3MOPt2im,45.64000126450519,2.136230477844947e-06
3MOX4HOXPGALDOX,-41.25566868463603,3.4007813930511475
3MOX4HOXPGALDOX_NADP_,-30.46305416341066,8.339468955993652
3MOXTYROX,-127.63086003958904,69.62351989746094
3NTD7l,-28.246066350477903,1.954844355583191
3SALAASPm,-14.840255719153475,0.0
3SALACBOXL,-21.23437452210716,3.0089781284332275
3SALAOX,-511.7858720356059,21.52855110168457
3SALATAi,-4.978631636027025,7.0113725662231445
3SALATAim,-9.436808074219329,7.0113725662231445
3SPYRSP,-4.290518347471595,22.60482215881348
3SPYRSPm,-2.7229357512100734,22.60482215881348
41R1H2MAE12BOOX,-112.83562836736364,22.67925071716309
41R2A1H12BOOX,-126.1601836883276,43.21767425537109
42A12BOOX,-129.93516969392311,42.36003875732422
4ABUTtm,41.06724575982624,7.187845312728314e-06
4HBZCOAFm,-9.066060671741198,10.412205696105955
4HBZFm,-30.275465713244856,10.38878059387207
4HDEBRISOQUINEte,-18.86838650564413,1.5231299585138912e-05
4HGLSDm,-41.63355154293811,1.2734636068344116
4HOXPACDOX_NADP_,-31.10144371323196,8.297520637512207
4MOPt2im,45.64001101246276,1.518230533292808e-06
4MPTNLte,13.691869417114,7.450290468113962e-06
4MPTNLtm,54.76747980310529,5.276981937640812e-06
4MPTNLtr,-9.155273232863692e-07,5.205908564676065e-06
4MTOLBUTAMIDEte,-19.39439034058537,5.276982847135514e-06
4NPHSFte,-1.669408201898352,9.02722058526706e-06
4NPHSULT,-63.474258713461865,22.523794174194336
4NPHte,-4.989608939623427,0.0
4PYRDX,-16.913527186710326,0.3780787587165832
5ADTSTSTERONEGLCte,16.174865093452595,0.3780783116817474
5ADTSTSTERONEGLCtr,2.441406195430318e-06,1.7626380213187076e-05
5ADTSTSTERONESte,30.194135293216,2.5158034986816347e-05
5ADTSTSTERONESULT,-49.82250188301276,9.78278350830078
5ADTSTSTERONEte,-34.22967873155055,2.0823636077693664e-05
5ADTSTSTERONEtr,-6.10351571594947e-06,3.6108885979047045e-05
5AOPtm,39.353475180155534,2.412626372461091e-06
5DHFtl,-447.6048553931584,4.125520717934705e-05
5FTHFt2,-15.88928957422958,1.3901420061301906e-05
5HLTDL,-17.73825347882681,41.64867401123047
5HOMEPRAZOLEte,-21.66766934648367,8.544921911379788e-06
5HOXINDACTO2OX,-178.31792060427998,5.367909908294678
5HOXINDACTOXm,-41.88891559400392,2.8730483055114746
5HOXINOXDA,-131.56448050071342,42.36381530761719
5HTRPDOX,-356.859444812879,13.811859130859377
5HTRPVESSEC,-12.373512360373551,0.3780784606933594
5HXKYNDCL,-18.62015703690692,41.808815002441406
5HXKYNOXDA,-197.8982673359332,46.14689254760742
5MTHFt,-23.431541382345,1.9787066776189025e-05
5MTHFt2,-21.149563276651804,1.9787066776189025e-05
5THFtl,-467.00570147266166,4.381265898700804e-05
5THFtm,-303.84094253676983,4.7688536142231897e-05
6DHFtl,-498.0230340222272,5.0519265641924e-05
6DHFtm,-332.88878815262456,3.807243774645031e-05
6HTSTSTERONEte,31.94769727568585,1.3634223250846844e-05
6HTSTSTERONEtr,1.220703097715159e-06,1.4900580936227923e-05
6THFtl,-536.6893722704372,4.8154961405089125e-05
6THFtm,-350.95321101043794,4.050798816024326e-05
7DHCHSTEROLtr,1.220703097715159e-06,5.5926320783328265e-05
7DHFtl,-549.1313016516535,5.025310383643955e-05
7DHFtm,-370.6795988849296,4.766997881233692e-05
7THFtl,-587.1161403094059,5.355465691536665e-05
7THFtm,-388.91265343433525,4.522783274296671e-05
A_MANASE,-26.33566548240627,1.5935454368591309
A_MANASEly,-26.33546984694982,1.5935548543930054
A4GALTc,,
A4GALTg,,
A4GNT1g,,
A4GNT2g,,
