BiGG reaction ID,BiGG metabolite ID,substrate concentration,UniProt ID,enzyme mass,gene name,KM [mM] (predicted),Kcat(predicted),enzyme effeciency
GLCptspp,glc_D,11.1,P69786,50677,ptsG,3.2286,2.3092,161.1601971
PGI,g6p,7.877471037,P0A6T1,61530,pgi,0.705127149,1.0976,127.8866814
PFK,f6p,2.524009686,P0A796,34842,pfkA,0.086504611,0.1201,46.00626021
PFK,f6p,2.524009686,P06999,32456,pfkB,0.068655323,96.4075,37184.71136
FBA,fdp,15.2,P0AB71,39147,fbaA,0.599513724,1.0276,65.03997642
FBA,fdp,15.2,P0A991,38109,fbaB,0.705127149,0.1893,11.90182249
TPI,dhap,3.062114323,P0A858,26972,tpiA,0.04340177,127.2944,40989.77309
GAPD,g3p,0.271107408,P0A9B2,35532,gapA,0.034022272,19.3054,63269.49252
PGK,13dpg,0.002241538,P0A799,41118,pgk,0.790476274,20.9902,26478.77933
PGM,3pg,1.54,P37689,56194,gpmM,0.037268098,3.3542,2126.588374
ENO,2pg,0.151,P0A6P9,45655,eno,0.900635156,3.8348,3646.511795
PYK,pep,0.184,P21599,51357,pykA,0.241807994,5.2893,12421.79591
PYK,pep,0.184,P0AD61,50729,pykF,0.016803878,57.1695,284703.1669
