BiGG reaction ID,BiGG metabolite ID,substrate concentration,UniProt ID,enzyme mass,gene name,KM [mM] (predicted),Kcat(predicted),enzyme effeciency
ACONT,cit,1.96,P36683,93498,acnB,0.404293,6.6758,2823.592507
ACONT,cit,1.96,P25516,97677,acnA,0.715582,7.45,2784.440918
ICDHyr,icit,0.0367,P08200,45757,icd,0.17084,11.207,53999.22906
AKGDH,akg,0.443,P0AFG3,105062,sucA,0.076136,4.5794,8821.195217
SUCOAS,succoa,0.223,P0A836,41393,sucC,0.028427,26.087,103755.7621
SUCDi,succ,0.569,P0AC41,64422,sdhA,0.035502,5.0884,8417.507304
FUM,fum,0.288,P0AC33,60299,fumA,0.311595,109.444,182529.8743
FUM,fum,0.288,P14407,60105,fumB,0.37197,6.4594,9787.414579
FUM,fum,0.288,P05042,50489,fumC,0.680101,305.535,315602.401
MDH,mal__L,1.68,P61889,32337,mdh,0.164175,1.3046,707.4165955
