BiGG reaction ID,BiGG metabolite ID,substrate concentration,UniProt ID,enzyme mass,gene name,KM [mM] (predicted),Kcat(predicted),enzyme effeciency
GLCt1r,glc_D_EX,5,P11166,54084,SLC2A1,1.511812806,1.1735,180.2109543
GLCt1r,glc_D_EX,5,P11168,57490,SLC2A2,0.663287401,6.235,1100.95066
GLCt1r,glc_D_EX,5,P11169,53924,SLC2A3,0.765457153,12.8012,2220.326968
HEX1,glc_D,0.5,P19367,102486,HK1,0.183779657,5.7315,8382.086161
HEX1,glc_D,0.5,P52789,102380,HK2,0.289425373,5.2935,6705.510338
HEX1,glc_D,0.5,P52790,99025,HK3,0.311471045,2.1311,2626.218167
HEX1,glc_D,0.5,P35557,52191,GCK,0.267790496,16.4621,21440.87493
HEX1,glc_D,0.5,Q2TB90,102545,HKDC1,0.200578108,8.9939,12837.82621
PGI,g6p,0.410573327,P06744,63147,GPI,0.393933415,65.2279,81078.12725
PFK,f6p,0.098061585,Q01813,85596,PFKP,0.223581895,19.3523,60166.92768
PFK,f6p,0.098061585,P08237,85183,PFKM,0.167008147,8.4068,31715.428
PFK,f6p,0.098061585,P17858,85018,PFKL,0.20698075,5.7397,18816.07679
FBA,fdp,1.515192135,P04075,39420,ALDOA,0.068336077,1.5991,1009.833603
FBA,fdp,1.515192135,P05062,39473,ALDOB,0.039305244,0.4236,272.4996553
FBA,fdp,1.515192135,P09972,39456,ALDOC,0.039859988,4.3886,2822.156206
TPI,dhap,1.625674756,P60174,26669,TPI1,0.276179284,416.3534,218919.7442
GAPD,g3p,0.140717121,P04406,36053,GAPDH,0.223530605,8.4321,23149.35523
GAPD,g3p,0.140717121,O14556,44501,GAPDHS,0.288252324,2.9483,6872.983692
PGK,13dpg,0.002241538,P07205,44796,PGK2,0.110507548,12.8868,114296.2702
PGK,13dpg,0.002241538,P00558,44615,PGK1,0.12144956,65.7098,531241.1407
PGK,13dpg,0.002241538,Q5JRA6,213702,MIA3,0.125577345,5.8691,45917.31568
PGM,3pg,0.375295417,P15259,28766,PGAM2,0.337677151,4.203,5895.037465
PGM,3pg,0.375295417,P18669,28804,PGAM1,0.3284823,5.4956,7808.715546
PGM,3pg,0.375295417,P07738,30005,BPGM,0.447174788,24.3266,29577.48482
ENO,2pg,0.009485293,P09104,47269,ENO2,0.242977068,66.2905,262575.7746
ENO,2pg,0.009485293,P13929,46987,ENO3,0.158099726,38.368,228946.4788
ENO,2pg,0.009485293,P06733,47169,ENO1,0.184503481,3.8588,19891.87271
PYK,pep,0.032842744,P14618,57937,PKM,0.129379913,127.1429,783755.5022
PYK,pep,0.032842744,P30613,61830,PKLR,0.11844781,171.4519,1133262.424
